Descriptor,Accuracy_test,Accuracy_avg_fold_test,Num_features,Num_operators,Num_total
(exp((rX-rA))/sqrt((rA+rX))),0.9234281141495115,1.0749988227993645,4,5,9
(exp((rX-rA))/sqrt(rX)),0.9234281141495115,1.0750251831853093,3,4,7
(exp(sqrt(rX))*(sqrt(rX)/exp(rA))),0.9234322466123404,1.0754717808931193,3,6,9
(exp((rB*xX))*log((rA/rX))),0.9234568675513983,1.0748261993462909,4,5,9
(exp((rX-rA))*log((rX*xX))),0.9235002314251163,1.086577324907085,4,5,9
(exp((xX/rA))/(rA*(xX)^2)),0.9235024970515593,1.0883945282201295,4,5,9
(((xX)^2*exp(rB))-(rA/rX)),0.9235124433253485,1.0136751721567439,4,5,9
((exp(-rA))^2+(exp(-xX)/log(xX))),0.9235746640313848,1.0952821291429167,3,8,9
((exp(-rB)-exp(xX))-(rX/rA)),0.92358649530911,1.040893459112269,4,6,9
(((rB-rA)-rA)/rX),0.9235871744385451,1.0390826449834367,4,3,7
(rX/((rA+rX)+(rA-rB))),0.9235871744385451,1.0390759063413204,5,4,9
(((rA-rB)+(rA-rX))/rX),0.9235871744385452,1.0390826449834367,5,4,9
(((rA+rX)+(rA-rB))/rX),0.9235871744385452,1.0391592898160762,5,4,9
(rX/((rB-rA)-rA)),0.9235871744385452,1.0390759063413204,4,3,7
(xX*((rA-rB)+(rA-rX))),0.9236347738660311,1.0440833268584917,5,4,9
((log(xX))^2-(rA/(rX*xX))),0.9236396367921011,1.0759647715418956,4,5,9
(exp(-(rA/rX))/(sqrt(xX)-xX)),0.92364996520615,1.0794169049343068,4,6,9
(((xX)^2)^2+sqrt((rX/rA))),0.92364996520615,1.0778688675737265,3,5,8
(exp((xX)^2)*log((rA/rX))),0.9236499652061501,1.0795686609208406,3,5,8
((rA*xX)/exp((rB*xX))),0.923682620021092,1.0298910105590686,4,4,8
(exp((rB*xX))/(rA*xX)),0.9236826200210921,1.0298910105590684,4,4,8
(sqrt(sqrt(rA))/(xX*exp(rA))),0.9236920922121203,1.0748369566903888,3,5,8
((sqrt(rA)/(xX)^2)/(exp(rA))^2),0.9236920922121203,1.0748369566903888,3,6,9
((exp(-xX))^2+(exp(-rA)/xX)),0.9236920922121203,1.0746852235407733,3,7,8
(((xX)^-1-sqrt(xX))/exp(rA)),0.9236920922121203,1.0723186387012653,3,6,9
((exp(-rA)/exp(xX))/xX),0.9236920922121203,1.0748308691844626,3,5,7
((exp(-rA)/xX)/exp(sqrt(xX))),0.9236920922121203,1.0734709750242029,3,6,8
((sqrt(rA)-sqrt(rX))/sqrt(exp(rA))),0.9237863101384713,1.0764178738363281,3,6,9
((exp(-rA)/xX)/sqrt(sqrt(xX))),0.9238046365804451,1.0715337856728084,3,6,8
(sqrt(exp(rB))*(exp(rX)/(rA)^2)),0.9238675898054359,1.0268401509191367,3,6,9
((xX*log(xX))-(rX/rA)),0.9238824441862854,1.076838802912508,4,4,8
((exp(-rA)-exp(-rX))-(rA/rX)),0.9238824441862856,1.0768621825490843,4,7,9
((exp(rB)*log(rX))/(exp(rA))^2),0.923882535592519,1.0410627987806609,3,6,9
((rX/rA)+((xX)^2/exp(rA))),0.923888426098133,1.0766329727867407,4,5,9
