Substance,Label,n,rA,rB,rX,nA,nB,nX,xA,xB,xX,iA,iB,iX,vA,vB,vX,fold_2
Rb2MgF4,1.0,1.0,1.63,0.72,1.33,1.0,2.0,-1.0,0.104686,0.121644,0.344443,4.177128,7.646235,17.42282,1.0,2.0,7.0,train
Tl2CoF4,1.0,1.0,1.59,0.745,1.33,1.0,2.0,-1.0,0.173447,0.1432363,0.344443,6.108287,7.88101,17.42282,3.0,9.0,7.0,train
K2NiF4,1.0,1.0,1.55,0.69,1.33,1.0,2.0,-1.0,0.0981896,0.1472068,0.344443,4.34066354,7.639877,17.42282,1.0,10.0,7.0,train
K2MnF4,1.0,1.0,1.55,0.83,1.33,1.0,2.0,-1.0,0.0981896,0.1352844,0.344443,4.34066354,7.434018,17.42282,1.0,7.0,7.0,train
Rb2CoF4,1.0,1.0,1.63,0.745,1.33,1.0,2.0,-1.0,0.104686,0.1432363,0.344443,4.177128,7.88101,17.42282,1.0,9.0,7.0,train
Nd2CoO4,1.0,1.0,1.163,0.745,1.4,3.0,2.0,-2.0,0.176539,0.1432363,0.304575,5.525,7.88101,13.618054,6.0,9.0,6.0,train
Rb2MnCl2I2,1.0,1.0,1.63,0.83,2.005,1.0,2.0,-1.0,0.104686,0.1352844,0.2416603,4.177128,7.434018,11.709445,1.0,7.0,7.0,train
Pr2CoO4,1.0,1.0,1.179,0.745,1.4,3.0,2.0,-2.0,0.17208,0.1432363,0.304575,5.473,7.88101,13.618054,5.0,9.0,6.0,train
Ba2RuO4,1.0,1.0,1.47,0.62,1.4,2.0,4.0,-2.0,0.1586786,0.1376494,0.304575,5.211664,7.3605,13.618054,2.0,8.0,6.0,train
Co2RuO4,0.0,1.0,0.9,0.62,1.4,2.0,4.0,-2.0,0.1432363,0.1376494,0.304575,7.88101,7.3605,13.618054,9.0,8.0,6.0,train
Co2SiO4,0.0,1.0,0.9,0.4,1.4,2.0,4.0,-2.0,0.1432363,0.178503,0.304575,7.88101,8.151683,13.618054,9.0,4.0,6.0,train
Co2SnO4,0.0,1.0,0.9,0.69,1.4,2.0,4.0,-2.0,0.1432363,0.178052,0.304575,7.88101,7.343917,13.618054,9.0,4.0,6.0,train
Na2BeCl4,0.0,1.0,1.24,0.45,1.81,1.0,2.0,-1.0,0.093214,0.144986,0.263803,5.1390767,9.322699,12.96763,1.0,2.0,7.0,train
