Substance,f.e,n,rA,rB,rX,xX,fold_3
Ho2CdSe4,3.296954842499999,1.0,1.072,0.95,1.98,0.2240328,train
Rb2CrO4,-1.448031775000004,1.0,1.63,0.44,1.4,0.304575,train
Li2VCl4,1.723694329999999,1.0,0.92,0.79,1.81,0.263803,train
Tb2CdSe4,3.506910634999996,1.0,1.095,0.95,1.98,0.2240328,train
Sm2CdSe4,2.579803210000001,1.0,1.132,0.95,1.98,0.2240328,train
Pr2CdSe4,2.902054794999997,1.0,1.179,0.95,1.98,0.2240328,train
Pr2CdS4,2.9188200025000004,1.0,1.179,0.95,1.84,0.23596,train
Nd2CdSe4,2.65133717375,1.0,1.163,0.95,1.98,0.2240328,train
Cs2ZnCl4,-0.1595053149999987,1.0,1.78,0.74,1.81,0.263803,train
Nd2CdS4,2.6789197950000005,1.0,1.163,0.95,1.84,0.23596,train
Cs2MgCl4,-0.3758710899999986,1.0,1.78,0.72,1.81,0.263803,train
Cs2CuCl4,-0.2302380900000002,1.0,1.78,0.73,1.81,0.263803,train
Tl2CoCl4,0.2130553899999991,1.0,1.59,0.745,1.81,0.263803,train
Na2CoCl4,1.1541704399999997,1.0,1.24,0.745,1.81,0.263803,train
K2CoCl4,0.3720242900000006,1.0,1.55,0.745,1.81,0.263803,train
Cs2CoCl4,0.2245048100000009,1.0,1.78,0.745,1.81,0.263803,train
Ce2SrSe4,4.372728031250002,1.0,1.196,1.18,1.98,0.2240328,train
Ce2SrS4,4.600759032500001,1.0,1.196,1.18,1.84,0.23596,train
Sm2CeS4,2.637058798750001,1.0,1.32,1.01,1.84,0.23596,train
Ce2PbSe4,4.122223401249999,1.0,1.196,1.19,1.98,0.2240328,train
Nd2CeS4,2.9099832612500016,1.0,1.35,1.01,1.84,0.23596,train
CaYbInSe4,1.9347534243750035,1.0,1.111,0.8,1.98,0.2240328,train
Yb2MgSe4,2.3216514337500005,1.0,1.042,0.72,1.98,0.2240328,train
Tm2MgSe4,2.189773502499998,1.0,1.052,0.72,1.98,0.2240328,train
MnNaAsO4,-0.6893208549999983,1.0,1.1,0.46,1.4,0.304575,train
Li2NiF4,1.6309385099999982,1.0,0.92,0.69,1.33,0.344443,train
Pr2EuSe4,3.6832081849999945,1.0,1.179,1.17,1.98,0.2240328,train
Dy2CaS4,4.263411230000001,1.0,1.083,1.0,1.84,0.23596,train
Li2ZnBr4,1.969236221874997,1.0,0.92,0.74,1.96,0.2412578,train
Tm2CdS4,3.3160404387499955,1.0,1.052,0.95,1.84,0.23596,train
MnScGaS4,3.276108793750004,1.0,0.915,0.62,1.84,0.23596,train
NaSrAsO4,-1.9179001850000008,1.0,1.275,0.46,1.4,0.304575,train
LiMnAsO4,0.2100404699999956,1.0,0.94,0.46,1.4,0.304575,train
Li2MnBr2Cl2,1.3046579549999997,1.0,0.92,0.83,1.885,0.2525304,train
LiScGeO4,1.041337611458328,1.0,0.895,0.53,1.4,0.304575,train
HoNaGeO4,-0.6744329985416648,1.0,1.156,0.53,1.4,0.304575,train
GdNaGeO4,-0.8847140641666691,1.0,1.1735,0.53,1.4,0.304575,train
Fe2GeO4,2.4766945433333376,1.0,0.92,0.53,1.4,0.304575,train
