Substance f.e rA rB rX xX
Cs2CoCl4 0.2245048100000009 1.78 0.745 1.81 0.263803
Ce2SrSe4 4.372728031250002 1.196 1.18 1.98 0.2240328
Ce2YbS4 3.277603817500003 1.196 1.02 1.84 0.23596
Sm2CeS4 2.637058798750001 1.32 1.01 1.84 0.23596
Ce2PbSe4 4.122223401249999 1.196 1.19 1.98 0.2240328
Nd2CeS4 2.9099832612500016 1.35 1.01 1.84 0.23596
CaYbInSe4 1.9347534243750035 1.111 0.8 1.98 0.2240328
Lu2CdSe4 4.6038219725 1.032 0.95 1.98 0.2240328
Yb2MgSe4 2.3216514337500005 1.042 0.72 1.98 0.2240328
Y2MgSe4 2.5525718549999983 1.075 0.72 1.98 0.2240328
Tm2MgSe4 2.189773502499998 1.052 0.72 1.98 0.2240328
MnNaAsO4 -0.6893208549999983 1.1 0.46 1.4 0.304575
Li2NiF4 1.6309385099999982 0.92 0.69 1.33 0.344443
Pr2EuSe4 3.6832081849999945 1.179 1.17 1.98 0.2240328
Mn2GeO4 0.786472323333335 0.96 0.53 1.4 0.304575
Na2ZnBr4 1.2205459818750004 1.24 0.74 1.96 0.2412578
Tm2CdS4 3.3160404387499955 1.052 0.95 1.84 0.23596
MnScGaS4 3.276108793750004 0.915 0.62 1.84 0.23596
NaSrAsO4 -1.9179001850000008 1.275 0.46 1.4 0.304575
LiMnAsO4 0.2100404699999956 0.94 0.46 1.4 0.304575
LiScGeO4 1.041337611458328 0.895 0.53 1.4 0.304575
LiInGeO4 1.4473892339583294 0.92 0.53 1.4 0.304575
HoNaGeO4 -0.6744329985416648 1.156 0.53 1.4 0.304575
Fe2GeO4 2.4766945433333376 0.92 0.53 1.4 0.304575
RbBaVO4 -2.074346239999993 1.5499999999999998 0.54 1.4 0.304575
CdNaAsO4 -0.6502302850000028 1.17 0.46 1.4 0.304575
LiNaBeF4 0.8759494683333351 1.08 0.45 1.33 0.344443
K2WS4 -1.6423924499999991 1.55 0.6 1.84 0.23596
Cs2MoSe4 -0.0814771899999975 1.78 0.59 1.98 0.2240328
Ba2VO4 -1.5928588999999995 1.47 0.58 1.4 0.304575
Mg2SiO4 1.9788634349999967 0.89 0.4 1.4 0.304575
FeMnGeO4 1.6266529133333345 0.94 0.53 1.4 0.304575
CoMnGeO4 2.156842810833336 0.93 0.53 1.4 0.304575
CaMnSiO4 0.2937831450000026 1.0699999999999998 0.4 1.4 0.304575
CaMgSiO4 0.9574832549999996 1.035 0.4 1.4 0.304575
KCaVO4 -1.3118316399999903 1.365 0.54 1.4 0.304575
CaYbInS4 2.7680648975000004 1.111 0.8 1.84 0.23596
CaYGaO4 0.4961377912500015 1.1275 0.62 1.4 0.304575
CaLaGaO4 -0.0568935306249951 1.198 0.62 1.4 0.304575
CaNaAsO4 -1.6224150349999995 1.21 0.46 1.4 0.304575
Cs2MnI4 0.0819683199999996 1.78 0.83 2.2 0.2195175999999999
Ni2RhS4 5.036746696666668 0.69 0.6 1.84 0.23596
Zn2PdO4 3.696393539999999 0.9 0.615 1.4 0.304575
Mn2TiO4 0.6140886700000046 0.96 0.605 1.4 0.304575
Mn2TcO4 1.7058552475000006 0.96 0.645 1.4 0.304575
Mn2SiO4 0.7660795150000013 0.96 0.4 1.4 0.304575
Sc2MgS4 3.9813556325000032 0.87 0.72 1.84 0.23596
Lu2MnSe4 2.869335497499998 1.032 0.83 1.98 0.2240328
Mg2PtO4 4.383408849999995 0.89 0.625 1.4 0.304575
Mg2SnO4 3.987529249999998 0.89 0.69 1.4 0.304575
Mg2TiO4 2.5526523899999987 0.89 0.605 1.4 0.304575
Tm2MgS4 2.261762738749999 1.052 0.72 1.84 0.23596
Yb2MgS4 2.74137705625 1.042 0.72 1.84 0.23596
Mg2TcO4 3.6833658274999976 0.89 0.645 1.4 0.304575
Cs2MoS4 -0.6282958749999992 1.78 0.59 1.84 0.23596
KCaAsO4 -1.612759790000002 1.365 0.46 1.4 0.304575
Ni2FeS4 4.403849280000003 0.69 0.645 1.84 0.23596
NaBaAsO4 -1.882663945000001 1.355 0.46 1.4 0.304575
NaBaVO4 -1.7605689750000018 1.355 0.54 1.4 0.304575
Tm2ZnS4 2.352760628035715 1.052 0.74 1.84 0.23596
Tb2YbS4 3.961453507499998 1.095 1.02 1.84 0.23596
Sm2ZnS4 1.7480303367857148 1.132 0.74 1.84 0.23596
Sc2ZnS4 4.266059881785712 0.87 0.74 1.84 0.23596
Rb2WSe4 -1.546175390000002 1.63 0.6 1.98 0.2240328
Rb2WS4 -1.8484376900000008 1.63 0.6 1.84 0.23596
Pr2YbS4 3.3311983575000017 1.179 1.02 1.84 0.23596
Zn2ZrO4 3.743927270000004 0.9 0.72 1.4 0.304575
Zn2TiO4 2.60036551 0.9 0.605 1.4 0.304575
LiMgAsO4 0.8785474499999957 0.905 0.46 1.4 0.304575
Fe2GeS4 4.833649256666666 0.92 0.53 1.84 0.23596
Yb2CaO4 2.5864123524999965 1.042 1.0 1.4 0.304575
